,Local Link,Stage,Industry,Region
0,./InsiderPitchPDFs/0xLabs.pdf,SeriesB,Fintech,N. America
1,./InsiderPitchPDFs/100plus.pdf,Seed,Healthcare,N. America
2,./InsiderPitchPDFs/10KC.pdf,Growth,Online learning,N. America
3,./InsiderPitchPDFs/1906.pdf,SeriesA,Cannabis,N. America
4,./InsiderPitchPDFs/1inchNetwork.pdf,SeriesB,Fintech,N. America
5,./InsiderPitchPDFs/7bridges.pdf,Seed,Europe,Europe
6,./InsiderPitchPDFs/7bridges.pdf,SeriesA,Data management,Europe
7,./InsiderPitchPDFs/8base.pdf,SeriesA,Enterprise software,N. America
8,./InsiderPitchPDFs/AChamps.pdf,Seed,Media,N. America
9,./InsiderPitchPDFs/Abatable.pdf,Seed,Enterprise software,Europe
10,./InsiderPitchPDFs/Ably.pdf,SeriesB,Data management,Europe
11,./InsiderPitchPDFs/AccelClub.pdf,SeriesA,Retail,Europe
12,./InsiderPitchPDFs/AccuRx.pdf,SeriesB,Healthcare,Europe
13,./InsiderPitchPDFs/Aceiss.pdf,Seed,Cybersecurity,N. America
14,./InsiderPitchPDFs/AceUp.pdf,Seed,Online learning,N. America
15,./InsiderPitchPDFs/Acin.pdf,SeriesA,Fintech,Europe
16,./InsiderPitchPDFs/Acquco.pdf,SeriesA,E-commerce,N. America
17,./InsiderPitchPDFs/AdaHealth.pdf,SeriesB,Healthcare,Europe
18,./InsiderPitchPDFs/AERAHealth.pdf,Pre-seed,Healthcare,Europe
19,./InsiderPitchPDFs/Aeris.pdf,SeriesA,Consumer tech,N. America
20,./InsiderPitchPDFs/AffiniT.pdf,SeriesB,Healthcare,N. America
21,./InsiderPitchPDFs/Afrocenchix.pdf,Seed,Retail,Europe
22,./InsiderPitchPDFs/AgaveGames.pdf,Seed,Media,Middle East
23,./InsiderPitchPDFs/AgBiome.pdf,SeriesD,Agriculture,N. America
24,./InsiderPitchPDFs/AgerasGroup.pdf,Venture,Fintech,Europe
25,./InsiderPitchPDFs/AgomAbTherapeutics.pdf,SeriesB,Healthcare,Europe
26,./InsiderPitchPDFs/Agora.pdf,Seed,Real estate,Middle East
27,./InsiderPitchPDFs/Agora.pdf,Seed,E-commerce,Europe
28,./InsiderPitchPDFs/AIRudder.pdf,SeriesB,Enterprise software,Asia
29,./InsiderPitchPDFs/Airbank.pdf,SeriesA,Fintech,Europe
30,./InsiderPitchPDFs/Airbase.pdf,SeriesB,Finance,N. America
31,./InsiderPitchPDFs/Airbnb.pdf,Seed,Hospitality,N. America
32,./InsiderPitchPDFs/Aircall.pdf,SeriesC,Cloud,Europe
33,./InsiderPitchPDFs/Aircall.pdf,SeriesD,Cloud,Europe
34,./InsiderPitchPDFs/airSlate.pdf,SeriesC,Enterprise software,N. America
35,./InsiderPitchPDFs/Aisera.pdf,SeriesD,Data management,N. America
36,./InsiderPitchPDFs/AkidoLabs.pdf,SeriesA,Healthcare,N. America
37,./InsiderPitchPDFs/Albert.pdf,SeriesC,Fintech,N. America
38,./InsiderPitchPDFs/AlcatrazAI.pdf,SeriesA,Data management,N. America
39,./InsiderPitchPDFs/Alloy.pdf,SeriesB,Fintech,N. America
40,./InsiderPitchPDFs/Alloy.pdf,Seed,Healthcare,N. America
41,./InsiderPitchPDFs/Almanac.pdf,Seed,Enterprise tech,N. America
42,./InsiderPitchPDFs/AlmostFriday.pdf,Seed,Media,N. America
43,./InsiderPitchPDFs/Alphin.pdf,SeriesA,Enterprise software,Europe
44,./InsiderPitchPDFs/Altana.pdf,SeriesB,Data management,N. America
45,./InsiderPitchPDFs/Alto.pdf,Seed,Fintech,N. America
46,./InsiderPitchPDFs/Altruist.pdf,SeriesB,Finance,N. America
47,./InsiderPitchPDFs/Alyce.pdf,SeriesA,Enterprise software,N. America
48,./InsiderPitchPDFs/Amagi.pdf,Growth,Enterprise software,N. America
49,./InsiderPitchPDFs/Amberscript.pdf,SeriesA,Enterprise software,Europe
50,./InsiderPitchPDFs/AscendElements.pdf,SeriesC,Hardware,N. America
51,./InsiderPitchPDFs/Ascend.pdf,SeriesA,Data management,N. America
52,./InsiderPitchPDFs/Assembly.pdf,SeriesA,Enterprise software,N. America
53,./InsiderPitchPDFs/Athennian.pdf,SeriesA,Enterprise software,N. America
54,./InsiderPitchPDFs/Atomwise.pdf,SeriesB,Data management,N. America
55,./InsiderPitchPDFs/AudienceTown.pdf,Seed,Advertising,N. America
56,./InsiderPitchPDFs/AudioMob.pdf,Seed,Enterprise software,Europe
57,./InsiderPitchPDFs/AudioMob.pdf,SeriesA,Enterprise software,Europe
58,./InsiderPitchPDFs/Audoo.pdf,SeriesA,Media,Europe
59,./InsiderPitchPDFs/AukiLabs.pdf,Seed,Virtual reality,Asia
60,./InsiderPitchPDFs/Aura.pdf,SeriesF,Cybersecurity,N. America
61,./InsiderPitchPDFs/AurionBiotech.pdf,N/A,Healthcare,N. America
62,./InsiderPitchPDFs/authIDai.pdf,N/A,Cybersecurity,N. America
63,./InsiderPitchPDFs/Avo.pdf,SeriesB,Consumer app,N. America
64,./InsiderPitchPDFs/AwakeSecurity.pdf,SeriesC,Cybersecurity,N. America
65,./InsiderPitchPDFs/Axelar.pdf,SeriesB,Data management,N. America
66,./InsiderPitchPDFs/Azowo.pdf,SeriesA,Data management,Europe
67,./InsiderPitchPDFs/BGreat.pdf,Seed,Cannabis,N. America
68,./InsiderPitchPDFs/Babylist.pdf,SeriesC,E-commerce,N. America
69,./InsiderPitchPDFs/Backbone.pdf,SeriesA,Hardware,N. America
70,./InsiderPitchPDFs/Banxware.pdf,Seed,Fintech,Europe
71,./InsiderPitchPDFs/Battleface.pdf,SeriesA,Healthcare,N. America
72,./InsiderPitchPDFs/Beam.pdf,SeriesE,Healthcare,N. America
73,./InsiderPitchPDFs/BeckleyPsytech.pdf,SeriesA,Healthcare,Europe
74,./InsiderPitchPDFs/Beem.pdf,Seed,Enterprise software,Europe
75,./InsiderPitchPDFs/Careem.pdf,Seed,Transportation,Middle East
76,./InsiderPitchPDFs/Carta.pdf,SeriesD,Fintech,N. America
77,./InsiderPitchPDFs/Casai.pdf,SeriesA,Real estate,N. America
78,./InsiderPitchPDFs/Castor.pdf,SeriesB,Enterprise software,N. America
79,./InsiderPitchPDFs/Caura.pdf,Seed,Transportation,Europe
80,./InsiderPitchPDFs/Cedar.pdf,SeriesC,Healthcare,N. America
81,./InsiderPitchPDFs/Cellarity.pdf,SeriesC,Healthcare,N. America
82,./InsiderPitchPDFs/Cervest.pdf,SeriesA,Real Estate,Europe
83,./InsiderPitchPDFs/CGHero.pdf,N/A,Media,Europe
84,./InsiderPitchPDFs/Chaptr.pdf,Seed,Media,N. America
85,./InsiderPitchPDFs/Chargeebee.pdf,SeriesF,Enterprise,N. America
86,./InsiderPitchPDFs/Chattermill.pdf,SeriesB,Data management,Europe
87,./InsiderPitchPDFs/Checkstep.pdf,Seed,Data management,Europe
88,./InsiderPitchPDFs/ChiliPiper.pdf,SeriesB,Enterprise software,N. America
89,./InsiderPitchPDFs/Chillchat.pdf,Seed,Fintech,Asia
90,./InsiderPitchPDFs/Chiper.pdf,SeriesB,E-commerce,S. America
91,./InsiderPitchPDFs/Chronicle.pdf,Seed,Enterprise software,N. America
92,./InsiderPitchPDFs/CipherSkin.pdf,SeriesA,Data management,N. America
93,./InsiderPitchPDFs/Circ.pdf,SeriesB,Hardware,N. America
94,./InsiderPitchPDFs/Circles.pdf,SeriesA,Healthcare,N. America
95,./InsiderPitchPDFs/Circular.pdf,SeriesA,Enterprise software,Europe
96,./InsiderPitchPDFs/Citylitics.pdf,SeriesA,Data management,N. America
97,./InsiderPitchPDFs/Clair.pdf,Seed,Fintech,N. America
98,./InsiderPitchPDFs/Claira.pdf,N/A,Data management,N. America
99,./InsiderPitchPDFs/Clari.pdf,SeriesE,Data management,N. America
100,./InsiderPitchPDFs/dLocal.pdf,Growth,Fintech,S. America
101,./InsiderPitchPDFs/DoControl.pdf,SeriesB,Enterprise software,N. America
102,./InsiderPitchPDFs/DocSend.pdf,pre-Seed,Cloud,N. America
103,./InsiderPitchPDFs/Domatic.pdf,Seed,Hardware,N. America
104,./InsiderPitchPDFs/DominoDataHealth.pdf,SeriesE,Data management,N. America
105,./InsiderPitchPDFs/Doorkee.pdf,Seed,Real estate,N. America
106,./InsiderPitchPDFs/Doorstead.pdf,SeriesB,Real estate,N. America
107,./InsiderPitchPDFs/Doorvest.pdf,Seed,Real estate,N. America
108,./InsiderPitchPDFs/Dutchie.pdf,SeriesB,Cannabis,N. America
109,./InsiderPitchPDFs/dv01.pdf,SeriesB,Fintech,N. America
110,./InsiderPitchPDFs/Eaze.pdf,SeriesD,Cannabis,N. America
111,./InsiderPitchPDFs/EcoLocked.pdf,Seed,Hardware,Europe
112,./InsiderPitchPDFs/Ecovadis.pdf,Growth,Data management,Europe
113,./InsiderPitchPDFs/Edge.pdf,Seed,Media,Europe
114,./InsiderPitchPDFs/Edgify.pdf,Seed,Data management,Europe
115,./InsiderPitchPDFs/ElasticStage.pdf,Seed,Hardware,Europe
116,./InsiderPitchPDFs/ElevenLabs.pdf,Pre-seed,Data management,Europe
117,./InsiderPitchPDFs/Elisity.pdf,Seed,Cybersecurity,N. America
118,./InsiderPitchPDFs/Elisity.pdf,SeriesA,Cybersecurity,N. America
119,./InsiderPitchPDFs/Eliyan.pdf,SeriesA,Hardware,N. America
120,./InsiderPitchPDFs/Ellis.pdf,Seed,Fintech,N. America
121,./InsiderPitchPDFs/Elo.pdf,SeriesA,Retail,N. America
122,./InsiderPitchPDFs/Elopage.pdf,SeriesA,E-commerce,Europe
123,./InsiderPitchPDFs/Emitwise.pdf,Seed,Data management,Europe
124,./InsiderPitchPDFs/Emocha.pdf,N/A,Healthcare,N. America
125,./InsiderPitchPDFs/HelloHeart.pdf,SeriesD,Healthcare,N. America
126,./InsiderPitchPDFs/HelpLightning.pdf,Series A,Enterprise/AR,N. America
127,./InsiderPitchPDFs/Here.pdf,Seed,Real estate,N. America
128,./InsiderPitchPDFs/Herv.pdf,SeriesA,Cannabis,N. America
129,./InsiderPitchPDFs/Heura.pdf,N/A,Retail,Europe
130,./InsiderPitchPDFs/Heyday.pdf,Seed,Enterprise software,N. America
131,./InsiderPitchPDFs/HiBob.pdf,SeriesD,Enterprise software,Middle East
132,./InsiderPitchPDFs/HingeHealth.pdf,SeriesD,Healthcare,N. America
133,./InsiderPitchPDFs/HintHealth.pdf,SeriesB,Healthcare,N. America
134,./InsiderPitchPDFs/Hintsa.pdf,SeriesA,Healthcare,N. America
135,./InsiderPitchPDFs/HMBradley.pdf,SeriesA,Fintech,N. America
136,./InsiderPitchPDFs/HMNC.pdf,Growth,Healthcare,Europe
137,./InsiderPitchPDFs/Holloway.pdf,Seed,Media,N. America
138,./InsiderPitchPDFs/Hologram.pdf,SeriesB,Enterprise software,N. America
139,./InsiderPitchPDFs/Hometalk.pdf,SeriesA,Consumer app,N. America
140,./InsiderPitchPDFs/Hone.pdf,SeriesB,Online learning,N. America
141,./InsiderPitchPDFs/Honey.pdf,Seed,E-commerce,N. America
142,./InsiderPitchPDFs/HoneyBook.pdf,SeriesD,Finance,N. America
143,./InsiderPitchPDFs/Honeycomb.pdf,SeriesA,Real estate,N. America
144,./InsiderPitchPDFs/Hopper.pdf,SeriesG,Fintech,N. America
145,./InsiderPitchPDFs/Hopscotch.pdf,Seed,Healthcare,N. America
146,./InsiderPitchPDFs/HourOne.pdf,SeriesA,Data management,Middle East
147,./InsiderPitchPDFs/Hourly.pdf,SeriesA,Enterprise software,N. America
148,./InsiderPitchPDFs/Howdy.pdf,SeriesA,Enterprise software,N. America
149,./InsiderPitchPDFs/HTEC.pdf,Growth,Enterprise software,Europe
150,./InsiderPitchPDFs/Marshmallow.pdf,SeriesB,Transportation,Europe
151,./InsiderPitchPDFs/Marshmallow.pdf,SeriesA,Healthcare,Europe
152,./InsiderPitchPDFs/Martech.pdf,SeriesA,Enterprise software,Europe
153,./InsiderPitchPDFs/Matchory.pdf,Seed,Enterprise software,Europe
154,./InsiderPitchPDFs/Mathison.pdf,SeriesA,Enterprise software,N. America
155,./InsiderPitchPDFs/Maven.pdf,post-IPO,Enterprise software,N. America
156,./InsiderPitchPDFs/Maven.pdf,Growth,Enterprise software,N. America
157,./InsiderPitchPDFs/Medable.pdf,SeriesD,Healthcare,N. America
158,./InsiderPitchPDFs/Medaltv.pdf,SeriesC,Media,Europe
159,./InsiderPitchPDFs/MedArrive.pdf,SeriesA,Healthcare,N. America
160,./InsiderPitchPDFs/MedCrypt.pdf,SeriesB,Cybersecurity,N. America
161,./InsiderPitchPDFs/MediaKits.pdf,Pre-seed,Media,N. America
162,./InsiderPitchPDFs/MediaKits.pdf,Pre-seed,Media,N. America
163,./InsiderPitchPDFs/MelioraTherapeudics.pdf,Seed,Healthcare,N. America
164,./InsiderPitchPDFs/Memo.pdf,SeriesA,Enterprise software,
165,./InsiderPitchPDFs/MenloMicro.pdf,SeriesB,Consumer electronics,N. America
166,./InsiderPitchPDFs/MercadoBitcoin.pdf,SeriesB,Fintech,S. America
167,./InsiderPitchPDFs/MessageBird.pdf,SeriesA,Cloud,Europe
168,./InsiderPitchPDFs/Metaphysic.pdf,Seed,Media,Europe
169,./InsiderPitchPDFs/Metaview.pdf,Seed,Enterprise software,Europe
170,./InsiderPitchPDFs/MethodFinancial.pdf,Pre-seed,Fintech,N. America
171,./InsiderPitchPDFs/MigaHealth.pdf,Seed,Healthcare,N. America
172,./InsiderPitchPDFs/Mine.pdf,SeriesA,Data management,Middle East
173,./InsiderPitchPDFs/Mine.pdf,SeriesA,Data management,Middle East
174,./InsiderPitchPDFs/Minna.pdf,SeriesB,Fintech,Europe
175,./InsiderPitchPDFs/PQShield.pdf,SeriesA,Cybersecurity,Europe
176,./InsiderPitchPDFs/PQShield.pdf,Seed,Cybersecurity,Europe
177,./InsiderPitchPDFs/PrimaryBid.pdf,SeriesB,Fintech,Europe
178,./InsiderPitchPDFs/PrimaryBid.pdf,SeriesC,Fintech,Europe
179,./InsiderPitchPDFs/Primer.pdf,SeriesA,Enterprise software,N. America
180,./InsiderPitchPDFs/Productfy.pdf,SeriesA,Fintech,N. America
181,./InsiderPitchPDFs/Promethium.pdf,SeriesA,Data management,N. America
182,./InsiderPitchPDFs/ProofTechnology.pdf,SeriesA,Enterprise software,N. America
183,./InsiderPitchPDFs/ProperFinance.pdf,Seed,Fintech,N. America
184,./InsiderPitchPDFs/Proper.pdf,Seed,Healthcare,N. America
185,./InsiderPitchPDFs/PublicGoods.pdf,Seed,Retail,N. America
186,./InsiderPitchPDFs/Pulley.pdf,SeriesA,Data management,N. America
187,./InsiderPitchPDFs/PyramidAnalytics.pdf,SeriesE,Data management,Europe
188,./InsiderPitchPDFs/Qonsent.pdf,Seed,Data management,N. America
189,./InsiderPitchPDFs/Qover.pdf,SeriesB,Enterprise software,Europe
190,./InsiderPitchPDFs/Quaise.pdf,SeriesA,Hardware,N. America
191,./InsiderPitchPDFs/Quantexa.pdf,SeriesD,Data management,N. America
192,./InsiderPitchPDFs/QuestDB.pdf,SeriesA,Data management,N. America
193,./InsiderPitchPDFs/AERAHealth.pdf,Pre-seed,Healthcare,Europe
194,./InsiderPitchPDFs/Aeris.pdf,SeriesA,Consumer tech,N. America
195,./InsiderPitchPDFs/AffiniT.pdf,SeriesB,Healthcare,N. America
196,./InsiderPitchPDFs/Afrocenchix.pdf,Seed,Retail,Europe
197,./InsiderPitchPDFs/AgaveGames.pdf,Seed,Media,Middle East
198,./InsiderPitchPDFs/AgBiome.pdf,SeriesD,Agriculture,N. America
199,./InsiderPitchPDFs/AgerasGroup.pdf,Venture,Fintech,Europe
200,./InsiderPitchPDFs/Connectly.pdf,SeriesA,Enterprise software,N. America
201,./InsiderPitchPDFs/Contractbook.pdf,SeriesA,Legal tech,N. America
202,./InsiderPitchPDFs/Convelio.pdf,SeriesB,Enterprise software,Europe
203,./InsiderPitchPDFs/Convious.pdf,SeriesA,E-commerce,Europe
204,./InsiderPitchPDFs/Copado.pdf,SeriesB,Enterprise software,N. America
205,./InsiderPitchPDFs/Copado.pdf,SeriesC,Enterprise software,N. America
206,./InsiderPitchPDFs/Copyai.pdf,SeriesA,Enterprise software,N. America
207,./InsiderPitchPDFs/Coralogix.pdf,SeriesC,Data management,N. America
208,./InsiderPitchPDFs/Coralogix.pdf,SeriesD,Data management,N. America
209,./InsiderPitchPDFs/Counterpart.pdf,SeriesB,Enterprise software,N. America
210,./InsiderPitchPDFs/Countingup.pdf,SeriesA,Fintech,Europe
211,./InsiderPitchPDFs/CourtCorrect.pdf,Seed,Enterprise software,Europe
212,./InsiderPitchPDFs/CoveTool.pdf,SeriesA,Real estate,N. America
213,./InsiderPitchPDFs/CoverGenius.pdf,Venture,Cybersecurity,Australia
214,./InsiderPitchPDFs/Covey.pdf,Seed,Fintech,N. America
215,./InsiderPitchPDFs/Cowboy.pdf,SeriesC,Transportation,Europe
216,./InsiderPitchPDFs/Cradle.pdf,Seed,Hardware,Europe
217,./InsiderPitchPDFs/Craftio.pdf,SeriesA,Enterprise software,Middle East
218,./InsiderPitchPDFs/CreativeFabrica.pdf,SeriesB,Enterprise software,Europe
219,./InsiderPitchPDFs/Crisp.pdf,SeriesB,Consumer app,Europe
220,./InsiderPitchPDFs/Crossbeam.pdf,SeriesA,Enterprise tech,N. America
221,./InsiderPitchPDFs/Crowdbotics.pdf,SeriesA,Data management,N. America
222,./InsiderPitchPDFs/Crunchbase.pdf,SeriesC,Media,N. America
223,./InsiderPitchPDFs/Cube.pdf,SeriesB,Fintech,N. America
224,./InsiderPitchPDFs/Curastory.pdf,Seed,Media,N. America
225,./InsiderPitchPDFs/Island.pdf,SeriesB,Enterprise software,N. America
226,./InsiderPitchPDFs/Iterable.pdf,SeriesD,Enterprise software,N. America
227,./InsiderPitchPDFs/iTrustCapital.pdf,SeriesA,Fintech,N. America
228,./InsiderPitchPDFs/JIFFYai.pdf,SeriesA,Enterprise software,N. America
229,./InsiderPitchPDFs/Jobox.pdf,SeriesB,Enterprise software,N. America
230,./InsiderPitchPDFs/Joonko.pdf,SeriesB,Enterprise software,N. America
231,./InsiderPitchPDFs/Jubilee.pdf,Seed,Media,N. America
232,./InsiderPitchPDFs/July.pdf,Pre-seed,Enterprise software,N. America
233,./InsiderPitchPDFs/JuneHomes.pdf,SeriesB,Real estate,N. America
234,./InsiderPitchPDFs/Juno.pdf,N/A,Enterprise software,Europe
235,./InsiderPitchPDFs/Juro.pdf,SeriesB,Enterprise software,Europe
236,./InsiderPitchPDFs/JusMundi.pdf,SeriesA,Enterprise software,Europe
237,./InsiderPitchPDFs/AccuRx.pdf,SeriesB,Healthcare,Europe
238,./InsiderPitchPDFs/Aceiss.pdf,Seed,Cybersecurity,N. America
239,./InsiderPitchPDFs/AceUp.pdf,Seed,Online learning,N. America
240,./InsiderPitchPDFs/Acin.pdf,SeriesA,Fintech,Europe
241,./InsiderPitchPDFs/Acquco.pdf,SeriesA,E-commerce,N. America
242,./InsiderPitchPDFs/AdaHealth.pdf,SeriesB,Healthcare,Europe
243,./InsiderPitchPDFs/AERAHealth.pdf,Pre-seed,Healthcare,Europe
244,./InsiderPitchPDFs/Aeris.pdf,SeriesA,Consumer tech,N. America
245,./InsiderPitchPDFs/AffiniT.pdf,SeriesB,Healthcare,N. America
246,./InsiderPitchPDFs/Afrocenchix.pdf,Seed,Retail,Europe
247,./InsiderPitchPDFs/AgaveGames.pdf,Seed,Media,Middle East
248,./InsiderPitchPDFs/AgBiome.pdf,SeriesD,Agriculture,N. America
249,./InsiderPitchPDFs/AgerasGroup.pdf,Venture,Fintech,Europe
250,./InsiderPitchPDFs/dLocal.pdf,Growth,Fintech,S. America
251,./InsiderPitchPDFs/DoControl.pdf,SeriesB,Enterprise software,N. America
252,./InsiderPitchPDFs/DocSend.pdf,pre-Seed,Cloud,N. America
253,./InsiderPitchPDFs/Domatic.pdf,Seed,Hardware,N. America
254,./InsiderPitchPDFs/DominoDataHealth.pdf,SeriesE,Data management,N. America
255,./InsiderPitchPDFs/Doorkee.pdf,Seed,Real estate,N. America
256,./InsiderPitchPDFs/Doorstead.pdf,SeriesB,Real estate,N. America
257,./InsiderPitchPDFs/Doorvest.pdf,Seed,Real estate,N. America
258,./InsiderPitchPDFs/Dutchie.pdf,SeriesB,Cannabis,N. America
259,./InsiderPitchPDFs/dv01.pdf,SeriesB,Fintech,N. America
260,./InsiderPitchPDFs/Eaze.pdf,SeriesD,Cannabis,N. America
261,./InsiderPitchPDFs/EcoLocked.pdf,Seed,Hardware,Europe
262,./InsiderPitchPDFs/Ecovadis.pdf,Growth,Data management,Europe
263,./InsiderPitchPDFs/Edge.pdf,Seed,Media,Europe
264,./InsiderPitchPDFs/Edgify.pdf,Seed,Data management,Europe
265,./InsiderPitchPDFs/ElasticStage.pdf,Seed,Hardware,Europe
266,./InsiderPitchPDFs/ElevenLabs.pdf,Pre-seed,Data management,Europe
267,./InsiderPitchPDFs/Elisity.pdf,Seed,Cybersecurity,N. America
268,./InsiderPitchPDFs/Elisity.pdf,SeriesA,Cybersecurity,N. America
269,./InsiderPitchPDFs/Eliyan.pdf,SeriesA,Hardware,N. America
270,./InsiderPitchPDFs/Ellis.pdf,Seed,Fintech,N. America
271,./InsiderPitchPDFs/Elo.pdf,SeriesA,Retail,N. America
272,./InsiderPitchPDFs/Elopage.pdf,SeriesA,E-commerce,Europe
273,./InsiderPitchPDFs/Emitwise.pdf,Seed,Data management,Europe
274,./InsiderPitchPDFs/Emocha.pdf,N/A,Healthcare,N. America
275,./InsiderPitchPDFs/Marshmallow.pdf,SeriesB,Transportation,Europe
276,./InsiderPitchPDFs/Marshmallow.pdf,SeriesA,Healthcare,Europe
277,./InsiderPitchPDFs/Martech.pdf,SeriesA,Enterprise software,Europe
278,./InsiderPitchPDFs/Matchory.pdf,Seed,Enterprise software,Europe
279,./InsiderPitchPDFs/Mathison.pdf,SeriesA,Enterprise software,N. America
280,./InsiderPitchPDFs/Maven.pdf,post-IPO,Enterprise software,N. America
281,./InsiderPitchPDFs/Maven.pdf,Growth,Enterprise software,N. America
282,./InsiderPitchPDFs/Medable.pdf,SeriesD,Healthcare,N. America
283,./InsiderPitchPDFs/Medaltv.pdf,SeriesC,Media,Europe
284,./InsiderPitchPDFs/MedArrive.pdf,SeriesA,Healthcare,N. America
285,./InsiderPitchPDFs/MedCrypt.pdf,SeriesB,Cybersecurity,N. America
286,./InsiderPitchPDFs/MediaKits.pdf,Pre-seed,Media,N. America
287,./InsiderPitchPDFs/MediaKits.pdf,Pre-seed,Media,N. America
288,./InsiderPitchPDFs/MelioraTherapeudics.pdf,Seed,Healthcare,N. America
289,./InsiderPitchPDFs/Memo.pdf,SeriesA,Enterprise software,
290,./InsiderPitchPDFs/MenloMicro.pdf,SeriesB,Consumer electronics,N. America
291,./InsiderPitchPDFs/MercadoBitcoin.pdf,SeriesB,Fintech,S. America
292,./InsiderPitchPDFs/MessageBird.pdf,SeriesA,Cloud,Europe
293,./InsiderPitchPDFs/Metaphysic.pdf,Seed,Media,Europe
294,./InsiderPitchPDFs/Metaview.pdf,Seed,Enterprise software,Europe
295,./InsiderPitchPDFs/MethodFinancial.pdf,Pre-seed,Fintech,N. America
296,./InsiderPitchPDFs/MigaHealth.pdf,Seed,Healthcare,N. America
297,./InsiderPitchPDFs/Mine.pdf,SeriesA,Data management,Middle East
298,./InsiderPitchPDFs/Mine.pdf,SeriesA,Data management,Middle East
299,./InsiderPitchPDFs/Minna.pdf,SeriesB,Fintech,Europe
300,./InsiderPitchPDFs/Starburst.pdf,SeriesD,Data management,N. America
301,./InsiderPitchPDFs/StarkWare.pdf,SeriesC,Fintech,Middle East
302,./InsiderPitchPDFs/StationMD.pdf,Seed,Healthcare,N. America
303,./InsiderPitchPDFs/Stayflexi.pdf,Seed,Hospitality,N. America
304,./InsiderPitchPDFs/Sternum.pdf,SeriesA,Cybersecurity,Middle East
305,./InsiderPitchPDFs/Stix.pdf,SeriesA,Retail,N. America
306,./InsiderPitchPDFs/Stoke.pdf,Seed,Enterprise software,N. America
307,./InsiderPitchPDFs/Storai.pdf,SeriesA,E-commerce,Middle East
308,./InsiderPitchPDFs/AChamps.pdf,Seed,Media,N. America
309,./InsiderPitchPDFs/Abatable.pdf,Seed,Enterprise software,Europe
310,./InsiderPitchPDFs/Ably.pdf,SeriesB,Data management,Europe
311,./InsiderPitchPDFs/AccelClub.pdf,SeriesA,Retail,Europe
312,./InsiderPitchPDFs/AccuRx.pdf,SeriesB,Healthcare,Europe
313,./InsiderPitchPDFs/Aceiss.pdf,Seed,Cybersecurity,N. America
314,./InsiderPitchPDFs/AceUp.pdf,Seed,Online learning,N. America
315,./InsiderPitchPDFs/Acin.pdf,SeriesA,Fintech,Europe
316,./InsiderPitchPDFs/Acquco.pdf,SeriesA,E-commerce,N. America
317,./InsiderPitchPDFs/AdaHealth.pdf,SeriesB,Healthcare,Europe
318,./InsiderPitchPDFs/AERAHealth.pdf,Pre-seed,Healthcare,Europe
319,./InsiderPitchPDFs/Aeris.pdf,SeriesA,Consumer tech,N. America
320,./InsiderPitchPDFs/AffiniT.pdf,SeriesB,Healthcare,N. America
321,./InsiderPitchPDFs/Afrocenchix.pdf,Seed,Retail,Europe
322,./InsiderPitchPDFs/AgaveGames.pdf,Seed,Media,Middle East
323,./InsiderPitchPDFs/AgBiome.pdf,SeriesD,Agriculture,N. America
324,./InsiderPitchPDFs/AgerasGroup.pdf,Venture,Fintech,Europe
325,./InsiderPitchPDFs/Front.pdf,SeriesD,Enterprise software,N. America
